Timestamp,City,Country,Temperature (°C),Feels Like (°C),Humidity (%),Wind Speed (m/s),Weather Description
2025-03-03 08:19:58,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:20:28,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:20:28,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:20:28,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:20:58,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:20:58,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:20:58,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:21:29,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:21:29,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:21:29,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:21:59,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:21:59,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:21:59,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:22:29,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:22:29,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:22:30,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:23:00,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:23:00,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:23:00,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:23:30,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:23:30,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:23:30,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:24:00,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:24:01,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:24:01,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:24:31,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:24:31,Hue,VN,25.14,25.67,75,1.1,few clouds
